ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
indicator,sma,ema,rsi,macd,bollinger_bands,stochastic,adx,sma,ema,rsi,macd,bollinger_bands,stochastic,adx
Datetime,,,,,,,,,,,,,,
2026-01-21 08:30:00+00:00,-1,1,0,-1,0,-1,Extremely Strong Trend,1,1,0,-1,0,1,sideways
2026-01-21 09:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,1,1,0,-1,0,1,sideways
2026-01-21 10:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-21 11:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-21 12:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,1,1,0,-1,0,-1,sideways
2026-01-21 13:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-21 14:30:00+00:00,-1,1,0,-1,1,-1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-21 15:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-21 16:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-21 17:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-21 18:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-21 19:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-21 20:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,-1,1,0,1,0,1,sideways
2026-01-21 21:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,-1,1,0,1,0,-1,sideways
2026-01-21 22:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,-1,1,0,1,0,-1,sideways
2026-01-21 23:30:00+00:00,-1,-1,0,-1,0,-1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-22 00:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,-1,1,sideways
2026-01-22 01:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-22 02:30:00+00:00,-1,-1,0,-1,0,-1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-22 03:30:00+00:00,-1,-1,0,-1,0,-1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-22 04:30:00+00:00,-1,-1,0,-1,1,-1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-22 05:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-22 06:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-22 07:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-22 08:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-22 09:30:00+00:00,-1,-1,0,-1,0,1,Developing Trend,1,1,0,1,0,1,sideways
2026-01-22 10:30:00+00:00,-1,-1,0,-1,0,1,Developing Trend,1,1,0,1,0,1,Developing Trend
2026-01-22 11:30:00+00:00,-1,-1,0,-1,0,1,Developing Trend,1,1,0,1,0,-1,Developing Trend
2026-01-22 12:30:00+00:00,-1,-1,0,1,0,1,Developing Trend,1,1,0,1,0,-1,Developing Trend
2026-01-22 13:30:00+00:00,-1,-1,0,1,0,1,Developing Trend,1,1,0,1,0,-1,Strong Trend
2026-01-22 14:30:00+00:00,-1,-1,0,1,0,1,sideways,1,1,0,1,0,-1,Strong Trend
2026-01-22 15:30:00+00:00,-1,-1,0,1,0,1,sideways,1,1,0,1,0,-1,Strong Trend
2026-01-22 16:30:00+00:00,1,-1,0,1,0,1,sideways,1,1,0,1,0,-1,Strong Trend
2026-01-22 17:30:00+00:00,1,-1,0,1,0,-1,sideways,1,1,0,1,0,1,Strong Trend
2026-01-22 18:30:00+00:00,1,1,0,1,-1,-1,sideways,1,1,0,1,0,-1,Strong Trend
2026-01-22 19:30:00+00:00,1,1,0,1,-1,1,sideways,1,1,0,-1,0,-1,Strong Trend
2026-01-22 20:30:00+00:00,1,1,-1,1,-1,1,Developing Trend,1,1,0,-1,0,-1,Developing Trend
2026-01-22 21:30:00+00:00,1,1,-1,1,-1,-1,Developing Trend,1,1,0,-1,0,-1,Developing Trend
2026-01-22 22:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,1,0,-1,0,-1,Developing Trend
2026-01-22 23:30:00+00:00,1,1,-1,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-23 00:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-23 01:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-23 02:30:00+00:00,1,1,-1,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-23 03:30:00+00:00,1,1,-1,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-23 04:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-23 05:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-23 06:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,1,0,-1,0,1,sideways
2026-01-23 07:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,1,0,-1,0,1,sideways
2026-01-23 08:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,1,0,1,0,1,Developing Trend
2026-01-23 09:30:00+00:00,1,1,0,-1,0,1,Strong Trend,-1,1,0,1,0,-1,Developing Trend
2026-01-23 10:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,1,0,1,0,1,Developing Trend
2026-01-23 11:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,1,0,1,-1,1,Developing Trend
2026-01-23 12:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,1,0,1,0,-1,Developing Trend
2026-01-23 13:30:00+00:00,1,1,0,-1,0,1,Strong Trend,1,-1,0,-1,1,-1,Strong Trend
2026-01-23 14:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,-1,0,-1,1,-1,Strong Trend
2026-01-23 15:30:00+00:00,-1,1,0,-1,0,-1,Strong Trend,1,-1,0,-1,0,1,Strong Trend
2026-01-23 16:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-23 17:30:00+00:00,-1,1,0,-1,0,1,Developing Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-23 18:30:00+00:00,-1,1,0,-1,0,-1,Developing Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-23 19:30:00+00:00,-1,1,0,-1,0,1,Developing Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-23 20:30:00+00:00,-1,1,0,-1,0,1,Developing Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-23 21:30:00+00:00,-1,1,0,1,-1,1,Developing Trend,-1,-1,0,-1,1,-1,Strong Trend
2026-01-23 22:30:00+00:00,1,1,-1,1,-1,1,Developing Trend,-1,-1,1,-1,1,-1,Strong Trend
2026-01-23 23:30:00+00:00,1,1,-1,1,-1,-1,Strong Trend,-1,-1,1,-1,1,-1,Strong Trend
2026-01-24 00:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,-1,-1,1,-1,1,1,Strong Trend
2026-01-24 01:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,-1,-1,1,-1,1,-1,Strong Trend
2026-01-24 02:30:00+00:00,1,1,-1,1,-1,-1,Strong Trend,-1,-1,1,-1,0,-1,Strong Trend
2026-01-24 03:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,1,-1,0,-1,Strong Trend
2026-01-26 05:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,-1,-1,1,-1,1,1,Strong Trend
2026-01-26 06:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,1,-1,0,-1,Extremely Strong Trend
2026-01-26 07:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,1,-1,0,-1,Extremely Strong Trend
2026-01-26 08:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 09:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 10:30:00+00:00,1,1,-1,1,0,1,Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 11:30:00+00:00,1,1,0,1,0,-1,Extremely Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 12:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 13:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 14:30:00+00:00,1,1,0,-1,0,1,Strong Trend,-1,-1,1,-1,0,-1,Extremely Strong Trend
2026-01-26 15:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,1,-1,0,-1,Extremely Strong Trend
2026-01-26 16:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,1,-1,0,1,Extremely Strong Trend
2026-01-26 17:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,1,1,0,1,Extremely Strong Trend
2026-01-26 18:30:00+00:00,1,1,0,-1,0,1,Strong Trend,-1,-1,1,1,0,1,Extremely Strong Trend
2026-01-26 19:30:00+00:00,1,1,0,-1,0,1,Strong Trend,-1,-1,1,1,0,-1,Extremely Strong Trend
2026-01-26 20:30:00+00:00,1,1,-1,-1,-1,1,Strong Trend,-1,-1,1,1,0,-1,Extremely Strong Trend
2026-01-26 21:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,1,1,0,1,Extremely Strong Trend
2026-01-26 22:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,0,1,0,1,Extremely Strong Trend
2026-01-26 23:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,0,1,0,1,Extremely Strong Trend
